ID,Item,FailureMode,Effect,Severity,Occurrence,Detection,RPN,ActionPriority,File,Line
FMEA-1167,analyse,Buffer overflow in analyse(),Incorrect system behaviour or safety-function failure originating in analyse (function),8,4,5,160,high,src/coupling/coupling.cpp,28
FMEA-651,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/sci/sci.cpp,103
FMEA-970,SafetyCase,State corruption in SafetyCase(),Incorrect system behaviour or safety-function failure originating in SafetyCase (class),8,4,5,160,high,src/safety_case/safety_case.hpp,42
FMEA-1515,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/coverage/coverage.cpp,118
FMEA-258,Advisory,State corruption in Advisory(),Incorrect system behaviour or safety-function failure originating in Advisory (class),8,4,5,160,high,src/vuln/vuln.cpp,27
FMEA-255,run,Buffer overflow in run(),Incorrect system behaviour or safety-function failure originating in run (function),8,4,5,160,high,src/cmd/cli.cpp,152
FMEA-654,Heartbeat,State corruption in Heartbeat(),Incorrect system behaviour or safety-function failure originating in Heartbeat (class),8,4,5,160,high,src/runtime/heartbeat.hpp,23
FMEA-1094,ShadowCtx,State corruption in ShadowCtx(),Incorrect system behaviour or safety-function failure originating in ShadowCtx (class),8,4,5,160,high,src/ast/ast.cpp,68
FMEA-251,apply_quality_gate,Buffer overflow in apply_quality_gate(),Incorrect system behaviour or safety-function failure originating in apply_quality_gate (function),8,4,5,160,high,src/cmd/cli.cpp,124
FMEA-1519,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/coverage/coverage.cpp,179
FMEA-1279,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/iec61508/iec61508.hpp,43
FMEA-267,parse_ver,Buffer overflow in parse_ver(),Incorrect system behaviour or safety-function failure originating in parse_ver (function),8,4,5,160,high,src/vuln/vuln.cpp,54
FMEA-247,print_err,Buffer overflow in print_err(),Incorrect system behaviour or safety-function failure originating in print_err (function),8,4,5,160,high,src/cmd/cli.cpp,79
FMEA-659,beat,Buffer overflow in beat(),Incorrect system behaviour or safety-function failure originating in beat (function),8,4,5,160,high,src/runtime/heartbeat.hpp,36
FMEA-974,ChecklistItem,State corruption in ChecklistItem(),Incorrect system behaviour or safety-function failure originating in ChecklistItem (class),8,4,5,160,high,src/sas/sas.hpp,18
FMEA-243,print_ok,Buffer overflow in print_ok(),Incorrect system behaviour or safety-function failure originating in print_ok (function),8,4,5,160,high,src/cmd/cli.cpp,78
FMEA-1523,apply_mcdc,Buffer overflow in apply_mcdc(),Incorrect system behaviour or safety-function failure originating in apply_mcdc (function),8,4,5,160,high,src/coverage/coverage.cpp,207
FMEA-1275,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/iec61508/iec61508.hpp,42
FMEA-239,value_of,Buffer overflow in value_of(),Incorrect system behaviour or safety-function failure originating in value_of (function),8,4,5,160,high,src/cmd/cli.cpp,75
FMEA-663,monitor,Buffer overflow in monitor(),Incorrect system behaviour or safety-function failure originating in monitor (function),8,4,5,160,high,src/runtime/heartbeat.hpp,56
FMEA-1091,class_member_visitor,Buffer overflow in class_member_visitor(),Incorrect system behaviour or safety-function failure originating in class_member_visitor (function),8,4,5,160,high,src/ast/ast.cpp,52
FMEA-235,run,Buffer overflow in run(),Incorrect system behaviour or safety-function failure originating in run (function),8,4,5,160,high,src/cmd/cli.hpp,8
FMEA-1527,parse_dal,Buffer overflow in parse_dal(),Incorrect system behaviour or safety-function failure originating in parse_dal (function),8,4,5,160,high,src/coverage/coverage.hpp,13
FMEA-666,Watchdog,State corruption in Watchdog(),Incorrect system behaviour or safety-function failure originating in Watchdog (class),8,4,5,160,high,src/runtime/watchdog.hpp,24
FMEA-231,render_json,Buffer overflow in render_json(),Incorrect system behaviour or safety-function failure originating in render_json (function),8,4,5,160,high,src/metrics/metrics.hpp,32
FMEA-286,VulnFinding,State corruption in VulnFinding(),Incorrect system behaviour or safety-function failure originating in VulnFinding (class),8,4,5,160,high,src/vuln/vuln.hpp,17
